N-gram-feat-comb,char N-gram,word N-gram,func N-gram,total_feat_num,weight scheme,classifier,cv-acc,cv-balanced_acc,cv-roc,cv-f1-fake,acc,balanced_acc,roc,f1_fake,f1_real
1-0-0 char-word-func,1,0,0,101,binary,LogisticRegression,0.66,0.64,0.79,0.52,0.75,0.72,0.85,0.65,0.8
1-0-0 char-word-func,1,0,0,101,binary,LinearSVC,0.73,0.73,0.81,0.72,0.8,0.79,0.0,0.76,0.83
1-0-0 char-word-func,1,0,0,101,binary,SVC,0.67,0.64,0.79,0.46,0.77,0.75,0.0,0.68,0.82
1-0-0 char-word-func,1,0,0,101,binary,DecisionTreeClassifier,0.72,0.72,0.72,0.68,0.77,0.76,0.78,0.72,0.8
1-0-0 char-word-func,1,0,0,101,binary,RandomForestClassifier,0.65,0.61,0.8,0.32,0.72,0.68,0.89,0.52,0.8
1-0-0 char-word-func,1,0,0,101,binary,MultinomialNB,0.64,0.66,0.77,0.7,0.66,0.69,0.82,0.69,0.63
1-0-0 char-word-func,1,0,0,101,binary,BernoulliNB,0.66,0.68,0.76,0.71,0.69,0.71,0.82,0.71,0.67
1-0-0 char-word-func,1,0,0,101,binary,AdaBoostClassifier,0.7,0.69,0.76,0.67,0.78,0.77,0.9,0.73,0.82
2-0-0 char-word-func,2,0,0,1555,binary,LogisticRegression,0.79,0.79,0.89,0.78,0.85,0.84,0.94,0.81,0.88
2-0-0 char-word-func,2,0,0,1555,binary,LinearSVC,0.8,0.8,0.9,0.79,0.84,0.83,0.0,0.8,0.87
2-0-0 char-word-func,2,0,0,1555,binary,SVC,0.8,0.81,0.9,0.8,0.85,0.84,0.0,0.81,0.88
2-0-0 char-word-func,2,0,0,1555,binary,DecisionTreeClassifier,0.73,0.73,0.73,0.71,0.81,0.79,0.79,0.76,0.84
2-0-0 char-word-func,2,0,0,1555,binary,RandomForestClassifier,0.66,0.63,0.89,0.34,0.74,0.7,0.94,0.56,0.82
