N-gram-feat-comb,char N-gram,word N-gram,func N-gram,total_feat_num,weight scheme,classifier,cv-acc,cv-balanced_acc,cv-roc,cv-f1-fake,acc,balanced_acc,roc,f1_fake,f1_real
4-4-4 char-word-func,4,4,4,22548,none (tf),LogisticRegression,0.64,0.64,0.69,0.6,0.71,0.69,0.76,0.62,0.76
4-4-4 char-word-func,4,4,4,22548,none (tf),LinearSVC,0.63,0.63,0.69,0.61,0.68,0.67,0.0,0.62,0.72
4-4-4 char-word-func,4,4,4,22548,none (tf),SVC,0.61,0.61,0.67,0.59,0.69,0.67,0.0,0.62,0.74
4-4-4 char-word-func,4,4,4,22548,none (tf),DecisionTreeClassifier,0.63,0.63,0.63,0.59,0.66,0.65,0.65,0.6,0.7
4-4-4 char-word-func,4,4,4,22548,none (tf),RandomForestClassifier,0.56,0.51,0.71,0.08,0.59,0.52,0.87,0.07,0.74
4-4-4 char-word-func,4,4,4,22548,none (tf),MultinomialNB,0.58,0.6,0.65,0.62,0.72,0.72,0.78,0.69,0.74
4-4-4 char-word-func,4,4,4,22548,none (tf),BernoulliNB,0.58,0.59,0.64,0.63,0.64,0.66,0.74,0.66,0.62
4-4-4 char-word-func,4,4,4,22548,none (tf),AdaBoostClassifier,0.69,0.69,0.76,0.64,0.73,0.71,0.81,0.66,0.77
5-5-5 char-word-func,5,5,5,32310,tfidf,LogisticRegression,0.55,0.5,0.61,0.0,0.57,0.5,0.75,0.0,0.73
5-5-5 char-word-func,5,5,5,32310,tfidf,LinearSVC,0.55,0.5,0.61,0.0,0.57,0.5,0.0,0.0,0.73
5-5-5 char-word-func,5,5,5,32310,tfidf,SVC,0.55,0.5,0.63,0.0,0.57,0.5,0.0,0.0,0.73
5-5-5 char-word-func,5,5,5,32310,tfidf,DecisionTreeClassifier,0.62,0.62,0.62,0.58,0.63,0.62,0.62,0.57,0.68
5-5-5 char-word-func,5,5,5,32310,tfidf,RandomForestClassifier,0.57,0.52,0.69,0.1,0.58,0.51,0.73,0.04,0.73
5-5-5 char-word-func,5,5,5,32310,tfidf,MultinomialNB,0.56,0.53,0.59,0.29,0.61,0.54,0.76,0.16,0.75
5-5-5 char-word-func,5,5,5,32310,tfidf,BernoulliNB,0.54,0.56,0.6,0.61,0.63,0.65,0.71,0.65,0.6
5-5-5 char-word-func,5,5,5,32310,tfidf,AdaBoostClassifier,0.68,0.67,0.74,0.63,0.7,0.69,0.75,0.64,0.75
5-5-5 char-word-func,5,5,5,32310,norm,LogisticRegression,0.64,0.63,0.69,0.53,0.75,0.71,0.83,0.59,0.82
5-5-5 char-word-func,5,5,5,32310,norm,LinearSVC,0.66,0.65,0.72,0.61,0.79,0.77,0.0,0.71,0.84
5-5-5 char-word-func,5,5,5,32310,norm,SVC,0.65,0.64,0.71,0.56,0.74,0.7,0.0,0.59,0.81
5-5-5 char-word-func,5,5,5,32310,norm,DecisionTreeClassifier,0.57,0.57,0.57,0.53,0.67,0.65,0.65,0.57,0.73
5-5-5 char-word-func,5,5,5,32310,norm,RandomForestClassifier,0.56,0.51,0.69,0.05,0.58,0.51,0.78,0.04,0.73
5-5-5 char-word-func,5,5,5,32310,norm,MultinomialNB,0.55,0.57,0.63,0.61,0.77,0.75,0.81,0.71,0.81
5-5-5 char-word-func,5,5,5,32310,norm,BernoulliNB,0.54,0.56,0.6,0.61,0.63,0.65,0.71,0.65,0.6
5-5-5 char-word-func,5,5,5,32310,norm,AdaBoostClassifier,0.66,0.66,0.72,0.62,0.73,0.71,0.8,0.65,0.78
5-5-5 char-word-func,5,5,5,32310,relat,LogisticRegression,0.54,0.49,0.58,0.03,0.57,0.5,0.75,0.0,0.73
5-5-5 char-word-func,5,5,5,32310,relat,LinearSVC,0.54,0.52,0.58,0.34,0.59,0.52,0.0,0.07,0.74
5-5-5 char-word-func,5,5,5,32310,relat,SVC,0.55,0.5,0.57,0.0,0.57,0.5,0.0,0.0,0.73
5-5-5 char-word-func,5,5,5,32310,relat,DecisionTreeClassifier,-1.0,-1.0,-1.0,-1.0,0.67,0.65,0.65,0.57,0.73
5-5-5 char-word-func,5,5,5,32310,relat,RandomForestClassifier,-1.0,-1.0,-1.0,-1.0,0.58,0.51,0.78,0.04,0.73
5-5-5 char-word-func,5,5,5,32310,relat,MultinomialNB,-1.0,-1.0,-1.0,-1.0,0.7,0.69,0.78,0.64,0.74
5-5-5 char-word-func,5,5,5,32310,relat,BernoulliNB,0.54,0.56,0.6,0.61,0.63,0.65,0.71,0.65,0.6
5-5-5 char-word-func,5,5,5,32310,relat,AdaBoostClassifier,-1.0,-1.0,-1.0,-1.0,0.73,0.71,0.8,0.65,0.78
5-5-5 char-word-func,5,5,5,32310,none (tf),LogisticRegression,0.63,0.62,0.68,0.59,0.71,0.69,0.76,0.62,0.77
5-5-5 char-word-func,5,5,5,32310,none (tf),LinearSVC,0.62,0.63,0.69,0.62,0.68,0.67,0.0,0.61,0.73
5-5-5 char-word-func,5,5,5,32310,none (tf),SVC,0.63,0.63,0.67,0.61,0.68,0.67,0.0,0.61,0.73
5-5-5 char-word-func,5,5,5,32310,none (tf),DecisionTreeClassifier,0.57,0.57,0.57,0.53,0.67,0.65,0.65,0.57,0.73
5-5-5 char-word-func,5,5,5,32310,none (tf),RandomForestClassifier,0.56,0.51,0.69,0.05,0.58,0.51,0.78,0.04,0.73
5-5-5 char-word-func,5,5,5,32310,none (tf),MultinomialNB,0.55,0.57,0.6,0.61,0.68,0.68,0.75,0.65,0.7
5-5-5 char-word-func,5,5,5,32310,none (tf),BernoulliNB,0.54,0.56,0.6,0.61,0.63,0.65,0.71,0.65,0.6
5-5-5 char-word-func,5,5,5,32310,none (tf),AdaBoostClassifier,0.66,0.66,0.72,0.62,0.73,0.71,0.8,0.65,0.78
6-6-6 char-word-func,6,6,6,37208,tfidf,LogisticRegression,0.55,0.5,0.61,0.0,0.57,0.5,0.75,0.0,0.73
